loc: 138, nll: 0.00, ppl: 1.00
loc: 139, nll: 0.05, ppl: 1.05
loc: 140, nll: 2.63, ppl: 13.82
loc: 141, nll: 0.01, ppl: 1.01
loc: 142, nll: 0.00, ppl: 1.00
loc: 143, nll: 0.00, ppl: 1.00
loc: 144, nll: 1.63, ppl: 5.09
loc: 145, nll: 7.96, ppl: 2851.67
loc: 146, nll: 1.35, ppl: 3.85
loc: 147, nll: 0.00, ppl: 1.00
loc: 148, nll: 5.79, ppl: 325.56
loc: 149, nll: 0.01, ppl: 1.01
loc: 150, nll: 0.00, ppl: 1.00
loc: 151, nll: 1.14, ppl: 3.12
loc: 152, nll: 2.41, ppl: 11.11
loc: 153, nll: 0.08, ppl: 1.08
loc: 154, nll: 0.00, ppl: 1.00
loc: 155, nll: 5.23, ppl: 186.33
loc: 156, nll: 6.29, ppl: 536.62
loc: 157, nll: 8.84, ppl: 6905.17
loc: 158, nll: 4.05, ppl: 57.55
loc: 159, nll: 0.18, ppl: 1.20
loc: 160, nll: 0.09, ppl: 1.10
loc: 161, nll: 0.37, ppl: 1.45
loc: 162, nll: 0.00, ppl: 1.00
loc: 163, nll: 3.69, ppl: 39.88
loc: 164, nll: 5.13, ppl: 169.20
loc: 165, nll: 0.00, ppl: 1.00
loc: 166, nll: 0.92, ppl: 2.50
loc: 167, nll: 1.71, ppl: 5.55
loc: 168, nll: 2.24, ppl: 9.36
loc: 169, nll: 4.87, ppl: 129.97
loc: 170, nll: 0.59, ppl: 1.81
loc: 171, nll: 1.24, ppl: 3.45
loc: 172, nll: 3.19, ppl: 24.23
loc: 173, nll: 0.45, ppl: 1.56
loc: 174, nll: 4.72, ppl: 112.23
loc: 175, nll: 2.95, ppl: 19.04
loc: 176, nll: 2.35, ppl: 10.53
loc: 177, nll: 4.27, ppl: 71.60
loc: 178, nll: 0.86, ppl: 2.37
loc: 179, nll: 0.24, ppl: 1.28
loc: 180, nll: 1.53, ppl: 4.60
loc: 181, nll: 0.00, ppl: 1.00
loc: 182, nll: 0.00, ppl: 1.00
loc: 183, nll: 2.63, ppl: 13.86
loc: 184, nll: 0.15, ppl: 1.17
loc: 185, nll: 4.63, ppl: 102.74
loc: 186, nll: 1.32, ppl: 3.74
loc: 187, nll: 10.57, ppl: 38923.93
loc: 188, nll: 0.98, ppl: 2.67
loc: 189, nll: 4.98, ppl: 145.19
loc: 190, nll: 0.01, ppl: 1.01
loc: 191, nll: 1.60, ppl: 4.94
loc: 192, nll: 0.02, ppl: 1.02
loc: 193, nll: 0.17, ppl: 1.18
loc: 194, nll: 0.56, ppl: 1.75
loc: 195, nll: 0.57, ppl: 1.77
loc: 196, nll: 5.90, ppl: 364.45
loc: 197, nll: 0.32, ppl: 1.37
