loc: 68, nll: 2.41, ppl: 11.17
loc: 69, nll: 8.90, ppl: 7324.52
loc: 70, nll: 0.01, ppl: 1.01
loc: 71, nll: 0.00, ppl: 1.00
loc: 72, nll: 0.26, ppl: 1.30
loc: 73, nll: 2.44, ppl: 11.51
loc: 74, nll: 0.09, ppl: 1.10
loc: 75, nll: 0.00, ppl: 1.00
loc: 76, nll: 1.13, ppl: 3.09
loc: 77, nll: 5.50, ppl: 244.42
loc: 78, nll: 0.01, ppl: 1.01
loc: 79, nll: 0.22, ppl: 1.25
loc: 80, nll: 7.31, ppl: 1501.57
loc: 81, nll: 0.29, ppl: 1.33
loc: 82, nll: 0.01, ppl: 1.01
loc: 83, nll: 0.99, ppl: 2.68
loc: 84, nll: 0.01, ppl: 1.01
loc: 85, nll: 8.59, ppl: 5376.52
loc: 86, nll: 4.77, ppl: 118.14
loc: 87, nll: 6.73, ppl: 833.54
loc: 88, nll: 5.45, ppl: 232.98
loc: 89, nll: 4.17, ppl: 64.41
loc: 90, nll: 4.71, ppl: 111.56
loc: 91, nll: 7.37, ppl: 1583.38
loc: 92, nll: 0.01, ppl: 1.01
loc: 93, nll: 0.18, ppl: 1.20
loc: 94, nll: 7.95, ppl: 2830.23
loc: 95, nll: 1.53, ppl: 4.63
loc: 96, nll: 0.07, ppl: 1.07
loc: 97, nll: 0.39, ppl: 1.47
loc: 98, nll: 2.65, ppl: 14.20
loc: 99, nll: 3.43, ppl: 30.81
loc: 100, nll: 0.01, ppl: 1.01
loc: 101, nll: 0.00, ppl: 1.00
loc: 102, nll: 0.03, ppl: 1.03
loc: 103, nll: 0.20, ppl: 1.22
loc: 104, nll: 0.01, ppl: 1.01
loc: 105, nll: 1.03, ppl: 2.80
loc: 106, nll: 0.04, ppl: 1.04
loc: 107, nll: 0.00, ppl: 1.00
loc: 108, nll: 3.62, ppl: 37.48
loc: 109, nll: 4.39, ppl: 80.38
loc: 110, nll: 0.76, ppl: 2.13
loc: 111, nll: 0.01, ppl: 1.01
loc: 112, nll: 3.59, ppl: 36.25
loc: 113, nll: 0.00, ppl: 1.00
loc: 114, nll: 0.00, ppl: 1.00
loc: 115, nll: 4.28, ppl: 72.24
loc: 116, nll: 0.21, ppl: 1.23
loc: 117, nll: 5.07, ppl: 158.55
loc: 118, nll: 0.12, ppl: 1.12
loc: 119, nll: 0.00, ppl: 1.00
